uid,text,data_part
Ju8kcpQvkPo--22,"Responding to this, Kapil Sharma had tweeted,",Train
U9CmkaYkK2Q--50,which can be used for your children's education or marriage or for buying a house,Train
1cc162c590dc-140,You may begin like this.,Train
E7G8toHkWn8--7,State transport commissioner Shekhar Channe,Train
lPzmjeJmsXo--26,After the meeting all the MLAs were taken to a resort near Jaipur,Train
girBc8A1Oq8--18,to visit the spot & inquire into the matter.,Train
yzP6HD0Zr3Y--75,say the return to her doll.,Validation
-PqvpqhDygk--15,Seventy people are being monitored in isolation wards in Kerala. They will be released once the tests are satisfactory.,Train
7bccd31315d7-108,O!,Train
zoOFr69cCiI--0,"Hitesha Chandranee, from Bengaluru is a content creator on social media.",Train
831fec5793da-5,as a mouse. Who does the mischief?,Train
408a13a4e222-71,"One. One day, the mother-in-law of a Santhal bridegroom cooked a special dish for him when he visited her. Two.",Train
XKqChwmfyeI--1,"Now, there is something new.",Train
WiUTkkPQ_ts--4,Rajput made his Bollywood debut in 2013 with Abhishek Kapoor's Kai Po Che!,Train
lnbPv3h6aNM--11,His parents would regularly call and ask him to come home but was adamant to stay true to his oath and his family agreed.,Train
yWkxUfEMzYM--18,You can also watch the solar eclipse from within the confines of your home.,Train
Q9-jYdeQlhs--8,This is why the RBI indefinitely banned Mastercard from issuing new credit & debit from July 22.,Train
OA3yYnRAFq0--17,"After coming in contact, if you wash your hands thoroughly then you will not get infected.",Validation
NwVF-WWZ0Bc--33,Do you think the volume of 10 5 rupee coins will be more than that of 10 marbles?,Validation
-6Kezg0HhG8--13,Enjoy brothers and sisters. One day weed will be legal in Israel and everyone can enjoy the benefits.”,Train
iBipV1zIVFk--32,you know where different types of things,Train
ukwKITgBZko--14,A car’s steering is easy to maneuver but the steering of a bus is very difficult to maneuver.,Train
qGFwpI6VRbE--33,Bela tells him.,Train
HnqybSnjzgo--2,The USA & Afghan government were at war with the Taliban.,Test
T8D3ge81Jyg--7,However even the Deaf community has made its contribution.,Train
5w94N4J_Dxw--12,"However, the order was so long that Kris had to flick the screen several times to see the complete list.",Train
x16Jcv_YI4I--24,If you are a victim of domestic violence do not be quiet.,Train
QFpFmNObOIo--4,which showed that she was in touch with drug dealers and was talking about marijuana and MDMA.,Train
_EVjLdEmSOA--89,where sacrifices may have been performed.,Train
HBQwzyxvkZA--256,The surroundings change and we see different kinds of adaptations.,Train
83326b7bbc9c-203,too. Nikhil,Train
exqm_484F14--171,The process of getting rid of wastes by organisms is known as excretion.,Train
vNBqhzjmOwQ--21,"On 8th October, Ashish was summoned and questioned.",Train
BUU11TnefNQ--10,ans some refuse to accept the change.,Train
KEp3mUphBEM--38,"till then, he wouldn't let him in.",Train
ZVE_KjrY_po--27,If you have a systematic lifestyle then the whole day goes as planned and the business is successful as well.,Validation
58131855adfb-53,bat,Train
_taxjcs8kck--15,travels on his own,Train
MMCChJ2aD20--146,One more thing that you must remember - ,Test
d3617db9c8e0-4,in his own words. It is called an...,Train
eabe1f38221a-61,I like blank,Train
501p6P_h7Rc--29,This is not the first time that such an incident has occurred.,Train
43043aa04251-138,Sign language uses the hands.,Train
gZvvwtj_6hM--30,and thousands of users congratulated the couple by liking the images.,Train
7nx0L1mTUIY--6,Joaquin Phoenix was named Best Actor in a Leading Role for Joker.,Train
VIowkXsLmYg--75,Why did the farmer's wife strike the mongos with her basket?,Train
eO3-ar8pnbI--1,a big fight broke out between lawyers and police personnel.,Train
5kymd5UTvAc--4,In response Pakistan conducted an aerial attack on India on 27 February with the aim to destroy  India’s military bases.,Train
XSxvi8_Fpg0--15,Such apps can also read the SMS inbox that has bank account transaction alerts and OTP.,Train
CIOmz3r8qyo--5,"Even then many companies in India, sell the medicines at a very expensive price.",Test
809a3a5e02d1-11,"to get better. But all they could say was, there is nothing more we can do.",Train
EK1U02Tf4Fk--10,and an audio-visual film at the Red Fort in Delhi.,Train
iRFiNddzW1Q--8,"During an interview, Ms Joshi revealed that her father was her biggest cheerleader who supported her dream.",Train
Uum9q5pv_0A--4,or if they are not given promotion inspite of their experience etc.,Train
15Ey-PvQmqU--3,PM Modi walked into the Ram Mandir with a big silver chhatra on a heavy embroidered red fabric.,Train
3zXfa95XPqc--13,"Similar incidents also occurred across the world, including mass crab deaths in Kent,",Train
J6sOe3XYMGk--15,that will decide if WhatsApp should have notified the bank in advance,Train
f8fc65200887-12,New words,Train
oneFAKiwsKg--6,Both of them bought cigarettes from the shop and were smoking.,Train
U5Tq9r7saZU--34,He gave the state government 6 weeks to reply and at the same time gave a stay order on Munde’s decision.,Train
1_qa0iYwv_c--13,in electing the new CM and government officials.,Test
gE819VzD-Ts--16,Now lets see what happens and what is the next update.,Train
x_9WhXAiuwU--12,These images went viral.,Train
m3Mmtpr-jjA--26,Republic TV then said they had paid the entire amount to Naik,Train
ZJF34LZeOho--7,But later it was declared dangerous and locals started taking a nearby concrete bridge.,Train
NCi0-MMvDMU_e2,That seems expensive - have you compared prices in other shop?,Train
xvZylsg9EpY--17,"Since July 2018, Nirav Modi has been hiding in UK.",Validation
03y9ed2nzh4--17,The speaker has asked the party members to vote and select a new President.,Test
Yn7CJrxkNDE--35,It was confirmed they were related.,Test
ksJNpj2M0Mg--15,"Finally, they flipped the entire vessel to rescue him. Muthukumar was burnt all over.",Train
YmA5x-QK03M--6,Many people wondered why posed in the nude. Let me tell you.,Validation
nWXVnRgJCqk--16,Monkeypox can sometimes be more severe and cause deaths.,Validation
cjvBVQ8zgPU--43,2,Train
xcvmAX1Vegs--23,but they are positive that they will solve the problem soon.,Train
dNBzWkzMS8w--6,She is seen with swollen eyes and a big cut on her upper lip.,Train
6dvgNioTESo--122,when they flew into the mighty ocean. Your organization that deserve stay at that,Train
LvN9Dxq2iLY--77,and another three-fourth on prawns. A,Train
a0GJqWQf2so--35,for the next part of the story.,Train
bd6oqoYjAM4--7,Kotsur is the first Deaf man to win this award and we are very proud of him.,Train
n79ka9XGAMg--33,"Within 90 minutes of the video posting, the Indian government responded, asking them to remain inside as the area is very dangerous.",Train
6bJf7HdCD28--16,"Shortly before Johnson's announcement, the four chief medical officers",Train
TZD-1MggkKs--12,but this time he did not laugh at all.,Train
BTqVQCBPUzg--96,"Column 1 says, Help Most in Housework?",Train
YKPwP5omD7E--73,The fund aims to eliminate COVID-19. The GS and a few Board members met,Train
YXcEsue5Fe0--0,In India the current lockdown which was to be lifted on 3rd May,Test
533abb879383-25,"After eating it, her mother said,",Train
Cb5VVKfSxiQ--9,"Earlier in the Australia vs India match,",Train
a0GJqWQf2so--115,He taught the two girls to sing Rag Megh.,Train
UitZrNJP2lw--9,But do you know around the world there are some weird facts related to passports that you probably didn't know.,Train
Wronn_JmBr4--1,"People can easily call each other, update their status and use funny emojis.",Train
a6uk6x8Ffnk--17,Or Rs 550 i.e 10% extra if a person buys Rs 500 worth of petrol.,Test
AVAL7rVfrIw--21,"Former BJP official Raj Purohit said if pubs, restaurants are open all night,",Train
oAhfJ8yB1j0--15,"Shabana Azmi in her tweet wrote, ""Javed Akhtar always looked upto Richard Dawkins for critical thinking and honesty.",Validation
YmtmJO5Alhw--11,"the government purchases land worth Rs 25,000 crore.",Validation
4Cg_x-Ao4T8--5,"When asked why the car's document stated a different owner, Khan stated that the documents contained Big B's name.",Validation
tDaw74Uy89E--10,This year too the opening ceremony performances have been cancelled due to the pandemic.,Train
IpRLdrFqxKk--164,"Since the material of the safe tipin allows the current to pass through it, the circuit was complete, hence the bulb glows.",Train
QSOFvTNT0zQ--3,Because missing EMI payments would mean strict action by banks.,Train
E1gOptJg6mM--13,Were these tunnels built by Hamas militants?,Train
SKml0MO_HEg--10,The couple shared their story and the video went viral.,Train
XTLJ3vnXtGo--12,Scientists hope it is not true because,Train
c02914d169b6-13,"Pictures, sketches, single-word questions.",Train
iZ48KAEeNMI_d,a strong feeling of wanting something,Train
81zVudx9pLw--8,which can enable you guys to see the,Validation
aaIqnc5blYM--5,"When Priyanka & Nick arrived at the event, all the photographers went crazy and started clicking their pictures.",Train
fL4hxu29Mr4_w,wail,Train
WxKh6dYTUOU--34,1 cm is equal to 10 mm.,Train
45skb5uokwY--81,It means gruesome crimes of 2022 or 2023 are nothing new and have been committed in the past as well.,Train
KE1EsTlft5g--1,Both of them found the Bill & Melinda Gates Foundation.,Train
N1sroaLVVI0--10,"At the Jewellery store, Casey purchased 3 luxury rolex watches.",Train
9bxtIE0Tygg--21,period.,Test
2N_vG88trc8--8,and spoke about how women are not safe in Mumbai because of this killer.,Train
5nN9jCRd3p0--35,"ICC worked with Members Boards like BCCI, PCB, Cricket Australia, etc.,",Validation
sVJQ684WDDU--21,"When an order placed on Amazon arrives,",Train
I5hUncyv0-s--27,"Meanwhile  Everything Everywhere All at Once won Best Picture, Best Actress,",Train
T6qUCBDmZKE--4,"In Mumbai, the price of a commercial gas cylinder is now Rs. 1,950.",Train
Rq4G9jvrxrE--21,and cities in Uttar Pradesh.,Train
117db0aadb7a-79,"C, D, E, F.",Train
arI3SdIFYmI--15,"The matches will be held at Delhi, Mumbai, Ahmedabad, Bangalore,",Train
5uxqKvxw-FQ--120,That is where the water cycle comes in. 14.3,Train
eXtL6-Mp0lg--5,There were many reports that private messages between friends and families,Train
VjzbMdwAKes--17,"Such a nice man. Those who have waited so long to get marriage, would have rushed the ceremony.",Train
K9BApkzONso--3,"Instead he focusses on understanding matter, making reforms in education and eventually became an engineer.",Train
7bccd31315d7-20,Big and small circles.,Train
NKX3HPUjO98--10,This was the reason for Ganguly's removal and selection of new President.,Train
jdu0LOHz7Zc--0,"There is a popular south Indian restaurant Sarvana Bhavan in Connaught Place, Delhi.",Validation
xFEQrtosric--22,Sunil Gavaskar and others.,Test
KW5NmT5g2vg--39,Anupama panicked and went to the cops to file a complaint.,Train
BjN_jBvLtIk--6,Also the water in lakes & dams has reduced a lot.,Train
ovYYEWMtW9M--46,or a tiger skin.,Train
MD3hVozwNMo--64,surrounded by russian troops firing,Train
dFovecsqCHg--5,"Once he lands, he is never made to wait for transport.",Train
-ZfvxlrzzKI--6,"The Dean asked, ""Why what happened?""",Train
6422c75b4261-62,"In small groups, one child will give directions.",Train
oyWhLo5brto--3,"Compared to earlier, now the time is very different.",Train
ac7d5b8ebe26-41,B,Train
CZejmq3fV9Y--6,"Sushant’s friends –  Rhea Chakraborty, Mahesh Shetty and Sandip Ssingh.",Validation
LjnS-cnPY0I--44,"That is, people who gathered their food. They knew about the vast wealth of plants in the surrounding forests and collected roots.",Train
N6yp2MKKY20--8,Anyone above the age of 18 can open a Swiss bank account.,Train
533abb879383-34,She ran home as fast as she could.,Train
AKvWUfY4OSQ--29,They should have asked for an explanation. The Sikh man was innocently walking around.,Train
JyT1reZx-Qo--25,The District Collector has been instructed to take proper care of the elderly.,Train
dac1fcc8319a-116,sitar flute,Train
6094ad90f864-18,"C, a dwarf.",Train
W0_-nax1mbw--17,and is doing this to gain sympathy.,Train
5uxqKvxw-FQ--57,Do you think our water requirement is limited to activities like these? VU's wheat.,Train
cacohTixeUA--4,Tripuraprasad Nanalal Pandya is the owner of a building in Kalbadevi.,Train
V2BccXsiwBc--4,He had been visiting many hospitals in India and abroad for his treatment.,Train
VIowkXsLmYg--33,and they are the best friends you know.,Train
jWCTuzhfVf0--15,This is a 2 year old news but has now again resurfaced and become more viral on social media.,Test
6uZKAzgRXUI--20,but there is no cure. I cannot bear with his grief over being Deaf and suffering.,Train
b005df5e411b-80,Tri-cycle Share,Train
n5OUkLIJ6m4--8,This is why the matches are being held in UAE.,Validation
5UaMRPEiKkA--1,"Now in Asia, it seems like China and Taiwan too will go to war.",Train
KzNXRXCbqj8--16,The law is not fair and is discriminatory against daughters.,Train
VHqWKG8mzhY--143,This is achievement!,Train
a0GJqWQf2so--83,Let us make him sing Rag deepak. He said.,Test
1cc162c590dc-78,The dog is blank.,Train
7cd20394895c-50,Trace the path of the Lady Bird.,Train
6egMMBnQUbY_e4,The committee can integrate the different plans.,Train
cteY1cGdma8--7,and the remaining 2 crore will be refunded by October.,Train
7ubnq-tlGO0--0,"Earlier from 27th-28th February in Hanoi, Vietnam",Train
JWvDuqgweFE--0,Zee News broadcasted a news about a Deaf couple from Kolkata but have changed their names,Train
810SSaIhMMs--137,trip.,Train
83b6ac4a3d19-18,Practise the poem and say it aloud to the children.,Test
eqoj3gAOQAU--29,"After being couped up at home, people, this rickshaw will fulfill people's wanderlust fantasies.",Test
0AAg-E7Wggk--0,"A day after the Hathras gang-rape victim was cremated by the police without the presence of her parents,",Test
Z80R2yX43NQ--4,The USA have labelled the Revolutionary Gaurds a terrorist organisation because of their violent activities in the past.,Train
k_3nonc67tg--0,"Naya Rivera is an American actress, model, and singer.",Validation
e64b379cc5f8-74,Fill in the blanks.,Train
eSHsonKjjrY--3,"You can not randomly take the vaccine. However, in Bihar a strange incident will shock you.",Train
Gs78ruj8l3M--50,"I am wondering, in USA, what Deaf Education has the Government tried to follow?",Train
4dTj4Awahks_w,vaguely,Train
nd3Fv5cWfcE--21,Let me tell you about these guidelines.,Validation
Nl251mednhE--0,Nitin Sangwan is from Haryana. After doing mechanical engineering he completed his Masters from IIT Madras.,Train
m-vzXssmO90--137,lawyer to mention this plea to another,Train
ohvsIE-6Slw--51,She had a lot of pain going to the bathroom. She wouldn't go,Train
kV5ajxHj84E--5,"Most of the people use nails to pickup coins, etc or to remove tapes, right?",Validation
XvXfh17O4es--7,Lauren Sanchez's son Nikko Gonzalez and her ex-husband Tony Gonzalez also attended the party,Train
ZGmZrMnuYxg--19,as well or uh the reproduction of an,Train
6Lb8PCw6vcc--138,"If there were any water that may have come from food, it would dry up after sometime.",Train
bQwgMmx06Fc--14,A DNA forensic expert team was called. They collected the blood samples carefully,Train
16d50cwIpoQ--7,Ziona married his first wife when he was 17. He married his last wife in 2004.,Train
Nn9spzBqmMs--118,Now the next part of the story.,Train
YreVgrFIisg--20,All 4 gangsters died and we have confisticated the weapons.,Train
oHqVGSYq0ks--36,"In India we wash the car wherever it is parked, even if it is on the road.",Train
PqLN4NQIi5w--25,Read these lines from the poem. One.,Train
xKRHCv1FGT0--191,which represent a classroom in Ashi's school.,Train
E-XP6CSzU_g--17,and former Pakistan President Musharraf.,Train
MjBTL0G1UME--2,"Maharashtra is the worst-hit Indian state, with more than half the number of new infections across the country.",Test
9T_BEkBowqE--22,The Union Consumer Affairs Minister deals  Ram Vilas Paswan deals with the problems of all consumers.,Train
Kfao_mT92ww--25,Biden also promised to help coronavirus-ravaged India,Validation
foPg70Kwqh8--12,"That’s when the Enforcement Directorate took notice of the Kurla land case, the money laundering and started an investigation.",Validation
9DdtGulGsNM--19,"In molestation cases, many people blame the women for wearing revealing clothes.",Train
Kb22VWQxt3s--14,this is why they are investing such a large amount.,Train
UaGlweA0NFA--0,On social media there is a viral video of luxury car getting into a chilling car crash.,Validation
xNOJYbzwxYc--7,This is why he requested fewer quarantine days.,Test
LQGwXf57GYs--69,If the death occurs within 12 months of the accident then the passenger is entitled to insurance payout.,Train
CZejmq3fV9Y--10,Kapur will now be questioned by the police as well.,Train
XgmuhfB695I--123,"Take a clay pot and add 2 tsp mustard seeds, 1 tsp cumin powder, 2 tsp grated ginger,",Train
29e7bf42fd88-134,There are a thousand things that they know more than you or me,Train
